Pt name,North,East,Ground,WSE,Elevation_recorded,Depth,Code,Notes
20237,2065466.474,6578375.998,156.147,176.849,176.449,20.702,BATH,
20238,2065468.289,6578374.914,157.904,176.867,176.467,18.963,BATH,
20239,2065469.87,6578373.762,157.27,176.824,176.424,19.554,BATH,
20240,2065471.131,6578372.511,154.629,176.84,176.44,22.211,BATH,
20241,2065472.164,6578371.345,158.237,176.807,176.407,18.57,BATH,
20242,2065472.965,6578370.37,155.723,176.819,176.419,21.096,BATH,
20243,2065474.987,6578369.446,154.65,176.861,176.461,22.211,BATH,
20244,2065477.452,6578368.571,155.696,176.857,176.457,21.161,BATH,
20245,2065479.789,6578367.7,154.843,176.825,176.425,21.982,BATH,
20246,2065481.805,6578366.728,156.603,176.813,176.413,20.21,BATH,
20247,2065483.488,6578365.611,156.063,176.863,176.463,20.8,BATH,
20248,2065484.795,6578364.399,154.51,176.852,176.452,22.342,BATH,
20249,2065485.825,6578363.081,154.231,176.836,176.436,22.605,BATH,
20250,2065486.562,6578361.872,155.928,176.827,176.427,20.899,BATH,
20251,2065487.142,6578360.884,156.097,176.832,176.432,20.735,BATH,
20252,2065487.899,6578360.038,155.541,176.834,176.434,21.293,BATH,
20253,2065488.988,6578359.05,158.377,176.815,176.415,18.438,BATH,
20254,2065490.156,6578357.939,156.167,176.803,176.403,20.636,BATH,
20255,2065491.325,6578356.752,155.99,176.79,176.39,20.8,BATH,
20256,2065492.289,6578355.524,156.173,176.809,176.409,20.636,BATH,
20257,2065492.872,6578354.333,158.794,176.806,176.406,18.012,BATH,
20258,2065493.151,6578353.103,155.724,176.82,176.42,21.096,BATH,
20259,2065493.225,6578351.825,158.152,176.82,176.42,18.668,BATH,
20260,2065493.098,6578350.544,157.082,176.833,176.433,19.751,BATH,
20261,2065492.757,6578349.317,160.091,176.856,176.456,16.765,BATH,
20262,2065492.3,6578348.201,156.478,176.819,176.419,20.341,BATH,
20263,2065491.965,6578347.008,156.078,176.813,176.413,20.735,BATH,
20264,2065491.773,6578345.712,157.616,176.809,176.409,19.193,BATH,
20265,2065491.59,6578344.332,158.244,176.814,176.414,18.57,BATH,
20266,2065491.253,6578342.925,158.024,176.823,176.423,18.799,BATH,
20267,2065490.821,6578341.603,155.345,176.834,176.434,21.489,BATH,
20268,2065490.247,6578340.155,155.901,176.8,176.4,20.899,BATH,
20269,2065489.627,6578338.754,156.601,176.811,176.411,20.21,BATH,
20270,2065489.104,6578337.378,156.231,176.835,176.435,20.604,BATH,
20271,2065488.676,6578336.159,156.746,176.858,176.458,20.112,BATH,
20272,2065488.38,6578335.123,156.918,176.833,176.433,19.915,BATH,
20273,2065488.192,6578334.204,156.982,176.831,176.431,19.849,BATH,
20274,2065488.067,6578333.293,157.016,176.865,176.465,19.849,BATH,
20275,2065488.131,6578332.527,157.014,176.863,176.463,19.849,BATH,
20276,2065488.405,6578331.828,156.985,176.834,176.434,19.849,BATH,
20277,2065488.83,6578331.144,157.088,176.839,176.439,19.751,BATH,
20279,2065489.827,6578330.071,157.455,176.845,176.445,19.39,BATH,
20280,2065490.406,6578329.575,157.85,176.846,176.446,18.996,BATH,
20281,2065491.101,6578329.045,158.07,176.836,176.436,18.766,BATH,
20282,2065491.746,6578328.559,158.623,176.832,176.432,18.209,BATH,
20283,2065492.347,6578328.1,158.783,176.828,176.428,18.045,BATH,
20284,2065492.871,6578327.708,158.778,176.823,176.423,18.045,BATH,
20285,2065493.38,6578327.374,158.333,176.837,176.437,18.504,BATH,
20286,2065493.894,6578327.021,158.594,176.835,176.435,18.241,BATH,
20287,2065494.587,6578326.637,158.801,176.813,176.413,18.012,BATH,
20288,2065495.428,6578326.152,159.1,176.817,176.417,17.717,BATH,
20289,2065496.43,6578325.515,159.528,176.818,176.418,17.29,BATH,
20290,2065497.597,6578324.83,158.61,176.819,176.419,18.209,BATH,
20291,2065498.849,6578324.201,160.305,176.808,176.408,16.503,BATH,
20292,2065500.318,6578323.584,160.789,176.832,176.432,16.043,BATH,
20293,2065502.034,6578323.059,161.612,176.835,176.435,15.223,BATH,
20294,2065503.786,6578322.687,162.029,176.826,176.426,14.797,BATH,
20295,2065505.573,6578322.452,161.867,176.828,176.428,14.961,BATH,
20296,2065507.243,6578322.292,161.953,176.848,176.448,14.895,BATH,
20297,2065508.961,6578322.165,162.018,176.815,176.415,14.797,BATH,
20298,2065510.626,6578322.097,162.04,176.837,176.437,14.797,BATH,
20299,2065512.187,6578321.956,161.895,176.856,176.456,14.961,BATH,
20300,2065513.601,6578321.838,161.926,176.821,176.421,14.895,BATH,
20301,2065514.926,6578321.633,159.932,176.828,176.428,16.896,BATH,
20302,2065516.126,6578321.499,162.057,176.854,176.454,14.797,BATH,
20303,2065517.174,6578321.359,162.3,176.867,176.467,14.567,BATH,
