P,N,E,Z,D
20425,2065482.257,6578309.909,176.856,WSE
20426,2065478.002,6578311.032,176.819,WSE
20427,2065473.93,6578312.302,176.874,WSE
20428,2065469.717,6578313.358,176.85,WSE
20429,2065465.788,6578314.625,176.782,WSE
20430,2065461.965,6578316.039,176.796,WSE
20431,2065457.82,6578317.154,176.805,WSE
20432,2065453.763,6578318.493,176.77,WSE
20433,2065450.937,6578320.73,176.798,WSE
20434,2065449.957,6578323.564,176.868,WSE
20435,2065448.339,6578326.629,176.862,WSE
20436,2065447.539,6578330.625,176.836,WSE
20437,2065447.272,6578334.762,176.79,WSE
20438,2065447.198,6578339.13,176.891,WSE
20439,2065447.217,6578343.99,176.858,WSE
20440,2065447.3,6578349.036,176.839,WSE
20441,2065447.286,6578354.303,176.806,WSE
20442,2065447.138,6578359.75,176.871,WSE
20443,2065447.796,6578365.252,176.871,WSE
20444,2065448.795,6578370.365,176.778,WSE
20445,2065449.715,6578375.155,176.854,WSE
20446,2065450.946,6578379.86,176.884,WSE
20447,2065451.632,6578384.547,176.868,WSE
20448,2065452.186,6578388.919,176.805,WSE
20449,2065453.039,6578393.083,176.824,WSE
20450,2065453.694,6578396.653,176.832,WSE
20451,2065451.974,6578397.166,176.827,WSE
20452,2065451.316,6578398.79,176.778,WSE
20453,2065449.825,6578400.76,176.844,WSE
20454,2065446.816,6578402.34,176.859,WSE
20455,2065443.233,6578404.146,176.784,WSE
20456,2065439.513,6578405.579,176.831,WSE
20457,2065435.901,6578406.693,176.837,WSE
20458,2065433.615,6578405.804,176.802,WSE
20459,2065433.82,6578404.697,176.835,WSE
20460,2065433.297,6578404.021,176.874,WSE
20461,2065432.502,6578401.828,176.849,WSE
20462,2065431.951,6578398.327,176.828,WSE
20464,2065430.041,6578388.841,176.812,WSE
20465,2065428.845,6578383.027,176.824,WSE
20467,2065426.604,6578371.527,176.874,WSE
20468,2065425.601,6578365.087,176.837,WSE
20469,2065424.919,6578358.626,176.792,WSE
20470,2065424.084,6578352.258,176.86,WSE
20471,2065422.959,6578345.65,176.832,WSE
20472,2065422.092,6578339.231,176.84,WSE
20474,2065419.295,6578327.69,176.828,WSE
20475,2065418.15,6578322.068,176.813,WSE
20476,2065416.955,6578316.913,176.766,WSE
20477,2065415.459,6578312.234,176.88,WSE
20478,2065414.11,6578308.383,176.832,WSE
20479,2065413.091,6578305.413,176.881,WSE
20480,2065412.349,6578304.881,176.903,WSE
20481,2065411.151,6578303.399,176.853,WSE
20482,2065409.389,6578302.972,176.808,WSE
20484,2065407.889,6578305.135,176.904,WSE
20485,2065405.737,6578306.626,176.88,WSE
20486,2065404.013,6578308.673,176.826,WSE
20487,2065402.176,6578310.895,176.873,WSE
20488,2065399.87,6578313.26,176.841,WSE
20489,2065397.155,6578315.812,176.85,WSE
20490,2065394.549,6578318.377,176.784,WSE
20491,2065391.992,6578320.7,176.834,WSE
20492,2065389.853,6578322.845,176.845,WSE
20493,2065388.383,6578325.237,176.804,WSE
20494,2065386.634,6578327.892,176.828,WSE
20495,2065385.595,6578330.782,176.84,WSE
20496,2065385.531,6578333.858,176.837,WSE
20497,2065384.968,6578337.219,176.864,WSE
20498,2065384.656,6578340.672,176.842,WSE
20499,2065385.783,6578344.489,176.877,WSE
20500,2065386.41,6578348.924,176.807,WSE
20501,2065387.099,6578353.62,176.843,WSE
20502,2065388.623,6578358.636,176.854,WSE
20503,2065390.186,6578363.665,176.822,WSE
20504,2065391.651,6578368.813,176.852,WSE
20505,2065392.958,6578374.109,176.87,WSE
20506,2065395.04,6578379.27,176.833,WSE
20507,2065397.149,6578384.172,176.826,WSE
20508,2065399.178,6578389.13,176.848,WSE
20509,2065401.033,6578394.058,176.839,WSE
20510,2065402.445,6578398.842,176.807,WSE
20511,2065403.616,6578403.516,176.857,WSE
20512,2065405.065,6578408.381,176.823,WSE
20513,2065406.165,6578413.087,176.777,WSE
20514,2065406.747,6578417.65,176.887,WSE
20515,2065407.205,6578422.217,176.808,WSE
20516,2065407.477,6578426.292,176.795,WSE
20517,2065407.448,6578430.146,176.866,WSE
20518,2065406.982,6578432.52,176.828,WSE
20519,2065406.307,6578433.459,176.836,WSE
20520,2065405.032,6578434.776,176.82,WSE
20521,2065403.399,6578436.134,176.883,WSE
20522,2065401.571,6578436.472,176.859,WSE
20523,2065399.051,6578436.36,176.868,WSE
20524,2065396.776,6578437.32,176.869,WSE
20525,2065395.244,6578439.201,176.847,WSE
20526,2065393.099,6578440.95,176.893,WSE
20527,2065390.566,6578443.351,176.864,WSE
20528,2065388.131,6578446.025,176.793,WSE
20529,2065385.802,6578449.021,176.887,WSE
20530,2065383.642,6578452.491,176.881,WSE
20531,2065381.511,6578456.335,176.856,WSE
20532,2065379.8,6578460.028,176.789,WSE
20533,2065378.493,6578463.778,176.848,WSE
20534,2065378.345,6578467.746,176.926,WSE
20535,2065380.047,6578471.015,176.814,WSE
20536,2065380.484,6578471.232,176.921,WSE
20538,2065380.102,6578467.282,176.933,WSE
20539,2065378.942,6578464.828,176.948,WSE
20540,2065377.746,6578461.806,176.849,WSE
20541,2065376.686,6578458.425,176.86,WSE
20542,2065375.985,6578455.073,176.794,WSE
20543,2065375.239,6578452.258,176.837,WSE
20544,2065374.932,6578449.121,176.791,WSE
20545,2065374.772,6578445.299,176.848,WSE
20546,2065374.191,6578441.644,176.855,WSE
20547,2065373.907,6578437.544,176.778,WSE
20548,2065373.617,6578433.09,176.841,WSE
20549,2065372.984,6578428.747,176.805,WSE
20550,2065372.476,6578424.603,176.807,WSE
20551,2065372.473,6578420.807,176.848,WSE
20552,2065371.648,6578417.282,176.777,WSE
20553,2065369.618,6578414.309,176.792,WSE
20554,2065367.209,6578411.599,176.838,WSE
20555,2065364.491,6578409.112,176.794,WSE
20556,2065361.696,6578406.609,176.857,WSE
20557,2065359.424,6578403.308,176.837,WSE
20559,2065354.898,6578397.911,176.823,WSE
20560,2065353.85,6578394.902,176.81,WSE
20561,2065352.099,6578392.338,176.874,WSE
20562,2065351.343,6578390.381,176.834,WSE
20563,2065351.351,6578387.937,176.831,WSE
20564,2065351.097,6578384.548,176.867,WSE
20565,2065351.632,6578380.467,176.818,WSE
20566,2065352.054,6578376.265,176.853,WSE
20567,2065351.969,6578371.837,176.838,WSE
20569,2065351.837,6578363.014,176.836,WSE
20570,2065351.266,6578358.788,176.834,WSE
